"The supplied battery complies with the EU Battery Directive 2013/56/EU and does not contain cadmium, lead, or mercury in concentrations higher than those defined in the directive.","The supplied battery complies with the EU Battery Directive 2013/56/EU and does not contain cadmium, lead, or mercury in concentrations higher than those defined in the directive.","The supplied battery complies with the EU Battery Directive 2013/56/EU and does not contain cadmium, lead, or mercury in concentrations higher than those defined in the directive.","The supplied battery complies with the EU Battery Directive 2013/56/EU and does not contain cadmium, lead, or mercury in concentrations higher than those defined in the directive.","The supplied battery complies with the EU Battery Directive 2013/56/EU and does not contain cadmium, lead, or mercury in concentrations higher than those defined in the directive.","The supplied battery complies with the EU Battery Directive 2013/56/EU and does not contain cadmium, lead, or mercury in concentrations higher than those defined in the directive.","The supplied battery complies with the EU Battery Directive 2013/56/EU and does not contain cadmium, lead, or mercury in concentrations higher than those defined in the directive.","The supplied battery complies with the EU Battery Directive 2013/56/EU and does not contain cadmium, lead, or mercury in concentrations higher than those defined in the directive.","The supplied battery complies with the EU Battery Directive 2013/56/EU and does not contain cadmium, lead, or mercury in concentrations higher than those defined in the directive.","The supplied battery complies with the EU Battery Directive 2013/56/EU and does not contain cadmium, lead, or mercury in concentrations higher than those defined in the directive.","The supplied battery complies with the EU Battery Directive 2013/56/EU and does not contain cadmium, lead, or mercury in concentrations higher than those defined in the directive.","The supplied battery complies with the EU Battery Directive 2013/56/EU and does not contain cadmium, lead, or mercury in concentrations higher than those defined in the directive."
,,,,,,,,,,,
The supplied charger meets EU ErP directive and regulation 278/2009 and EU Code of Conduct on Energy Efficiency of external power supplies.,The supplied charger meets EU ErP directive and regulation 278/2009 and EU Code of Conduct on Energy Efficiency of external power supplies.,The supplied charger meets EU ErP directive and regulation 278/2009 and EU Code of Conduct on Energy Efficiency of external power supplies.,The supplied charger meets EU ErP directive and regulation 278/2009 and EU Code of Conduct on Energy Efficiency of external power supplies.,The supplied charger meets EU ErP directive and regulation 278/2009 and EU Code of Conduct on Energy Efficiency of external power supplies.,The supplied charger meets EU ErP directive and regulation 278/2009 and EU Code of Conduct on Energy Efficiency of external power supplies.,The supplied charger meets EU ErP directive and regulation 278/2009 and EU Code of Conduct on Energy Efficiency of external power supplies.,The supplied charger meets EU ErP directive and regulation 278/2009 and EU Code of Conduct on Energy Efficiency of external power supplies.,The supplied charger meets EU ErP directive and regulation 278/2009 and EU Code of Conduct on Energy Efficiency of external power supplies.,The supplied charger meets EU ErP directive and regulation 278/2009 and EU Code of Conduct on Energy Efficiency of external power supplies.,The supplied charger meets EU ErP directive and regulation 278/2009 and EU Code of Conduct on Energy Efficiency of external power supplies.,The supplied charger meets EU ErP directive and regulation 278/2009 and EU Code of Conduct on Energy Efficiency of external power supplies.
,,,,,,,,,,,
Call (4G): 1200 mW,Call (GSM): 710 mW,Call (GSM): 710 mW,Call (GSM): 690 mW,Call (GSM): 770 mW,Call (GSM): 810 mW,Call (3G): 760 mW3,Call (GSM): 530 mW,Call (GSM): 590 mW,Call (GSM): 576 mW,Call (GSM): 490 mW,Call (GSM): 550 mW
,,,,,,,,,,,
Idle mode (DS): 18 mW,Idle mode (DS): 16 mW,Idle mode (DS): 16 mW,Idle mode (DS): 14.9 mW,Idle mode (DS): 21 mW,Idle mode (DS): 10 mW,,,Idle mode (DS): 7.1 mW,Idle mode (DS): 5.5 mW,Idle mode (DS): 8 mW,Idle mode (DS): 6.7 mW
,,,,,,,,,,,
,Idle mode: 14 mW,Idle mode: 14 mW,Idle mode: 11.1 mW,Idle mode: 18 mW,Idle mode: 9 mW,Idle mode (3G): 13 mW3,Idle mode: 8.9 mW,,,Idle mode (DS): 5 mW,Idle mode: 4.5 mW
,,,,,,,,,,,
Charger no-load power consumption: AD-10W <0.075 W,Charger no-load power consumption: AD-10W <0.075 W,Charger no-load power consumption: AD-10W <0.075 W,Charger no-load power consumption: AD-5W <0.075 W,Charger no-load power consumption: AD-5W <0.075 W,Charger no-load power consumption: AC-18 <0.075 W,Charger no-load power consumption: AC-18 <0.075 W,Charger no-load power consumption: AC-18 <0.075 W,Charger no-load power consumption: AC-18 <0.075 W,Charger no-load power consumption: AC-18 <0.075 W,Charger no-load power consumption: AC-18 <0.075 W,Charger no-load power consumption: AC-18 <0.075 W
,,,,,,,,,,,
Charger weight: 36~54 grams,Charger weight: 36-54 grams,Charger weight: 36-54 grams,Charger weight: 36-54 grams,Charger weight: 31.4-40 grams,Charger weight: 35 grams,Charger weight: 35.3 grams,Charger weight: 32 grams,Charger weight: 35 grams,Charger weight: 35 grams,Charger weight: 35 grams,Charger weight: 35 grams
,,,,,,,,,,,
Battery capacity: HE338 2900 mAh,Battery capacity: HE338/HE341 4000 mAh,Battery capacity: HE338/HE341 4000 mAh,Battery capacity: HE365 2500 mAh,Battery capacity: BV-5V 2150 mAh,Battery capacity: BV-6A 1500 mAh,Battery capacity: BL-4U 1200 mAh,Battery capacity: BL-5CB 1020 mAh,Battery capacity: BL-5C 1020 mAh,Battery capacity: BL-5CB 800 mAh,Battery capacity: BL-5C 1020 mAh,Battery capacity: BL-5CB 800 mAh
,,,,,,,,,,,
Battery weight: 39.20 grams,Battery weight: 54 grams,Battery weight: 54 grams,Battery weight: 43.5 grams,Battery weight: 36-37.5 grams,Battery weight: 25.6 grams,Battery weight: 23.8 grams,Battery weight1: 21.2 grams,Battery weight: 20-22.5 grams,Battery weight: 19-21 grams,Battery weight: 20-22.5 grams,Battery weight: 19-21 grams
,,,,,,,,,,,
Packaging,Packaging,Packaging,Packaging,Packaging,Packaging,Packaging,Packaging,Packaging,Packaging,Packaging,Packaging
,,,,,,,,,,,
"We work to minimize the environmental impact of our packaging by selecting sustainable materials, reducing the packaging size, reducing the volume of material we use, and considering what happens to the package when it is no longer needed.","We work to minimize the environmental impact of our packaging by selecting sustainable materials, reducing the packaging size, reducing the volume of material we use, and considering what happens to the package when it is no longer needed.","We work to minimize the environmental impact of our packaging by selecting sustainable materials, reducing the packaging size, reducing the volume of material we use, and considering what happens to the package when it is no longer needed.","We work to minimize the environmental impact of our packaging by selecting sustainable materials, reducing the packaging size, reducing the volume of material we use, and considering what happens to the package when it is no longer needed.","We work to minimize the environmental impact of our packaging by selecting sustainable materials, reducing the packaging size, reducing the volume of material we use, and considering what happens to the package when it is no longer needed.","We work to minimize the environmental impact of our packaging by selecting sustainable materials, reducing the packaging size, reducing the volume of material we use, and considering what happens to the package when it is no longer needed.","We work to minimize the environmental impact of our packaging by selecting sustainable materials, reducing the packaging size, reducing the volume of material we use, and considering what happens to the package when it is no longer needed.","We work to minimize the environmental impact of our packaging by selecting sustainable materials, reducing the packaging size, reducing the volume of material we use, and considering what happens to the package when it is no longer needed.","We work to minimize the environmental impact of our packaging by selecting sustainable materials, reducing the packaging size, reducing the volume of material we use, and considering what happens to the package when it is no longer needed.","We work to minimize the environmental impact of our packaging by selecting sustainable materials, reducing the packaging size, reducing the volume of material we use, and considering what happens to the package when it is no longer needed.","We work to minimize the environmental impact of our packaging by selecting sustainable materials, reducing the packaging size, reducing the volume of material we use, and considering what happens to the package when it is no longer needed.","We work to minimize the environmental impact of our packaging by selecting sustainable materials, reducing the packaging size, reducing the volume of material we use, and considering what happens to the package when it is no longer needed."
,,,,,,,,,,,
"Our packaging contains no hazardous or restricted substances, and is fully compliant with the EU directive 2013/2/EU.","Our packaging contains no hazardous or restricted substances, and is fully compliant with the EU directive 2013/2/EU.","Our packaging contains no hazardous or restricted substances, and is fully compliant with the EU directive 2013/2/EU.","Our packaging contains no hazardous or restricted substances, and is fully compliant with the EU directive 2013/2/EU.","Our packaging contains no hazardous or restricted substances, and is fully compliant with the EU directive 2013/2/EU.","Our packaging contains no hazardous or restricted substances, and is fully compliant with the EU directive 2013/2/EU.","Our packaging contains no hazardous or restricted substances, and is fully compliant with the EU directive 2013/2/EU.","Our packaging contains no hazardous or restricted substances, and is fully compliant with the EU directive 2013/2/EU.","Our packaging contains no hazardous or restricted substances, and is fully compliant with the EU directive 2013/2/EU.","Our packaging contains no hazardous or restricted substances, and is fully compliant with the EU directive 2013/2/EU.","Our packaging contains no hazardous or restricted substances, and is fully compliant with the EU directive 2013/2/EU.","Our packaging contains no hazardous or restricted substances, and is fully compliant with the EU directive 2013/2/EU."
,,,,,,,,,,,
Recycling,Recycling,Recycling,Recycling,Recycling,Recycling,Recycling,Recycling,Recycling,Recycling,Recycling,Recycling
,,,,,,,,,,,
"Always return your used electronic products, batteries, and packaging materials to a dedicated recycling collection point. This way you help prevent uncontrolled waste disposal and promote the recycling of materials.","Always return your used electronic products, batteries, and packaging materials to a dedicated recycling collection point. This way you help prevent uncontrolled waste disposal and promote the recycling of materials.","Always return your used electronic products, batteries, and packaging materials to a dedicated recycling collection point. This way you help prevent uncontrolled waste disposal and promote the recycling of materials.","Always return your used electronic products, batteries, and packaging materials to a dedicated recycling collection point. This way you help prevent uncontrolled waste disposal and promote the recycling of materials.","Always return your used electronic products, batteries, and packaging materials to a dedicated recycling collection point. This way you help prevent uncontrolled waste disposal and promote the recycling of materials.","Always return your used electronic products, batteries, and packaging materials to a dedicated recycling collection point. This way you help prevent uncontrolled waste disposal and promote the recycling of materials.","Always return your used electronic products, batteries, and packaging materials to a dedicated recycling collection point. This way you help prevent uncontrolled waste disposal and promote the recycling of materials.","Always return your used electronic products, batteries, and packaging materials to a dedicated recycling collection point. This way you help prevent uncontrolled waste disposal and promote the recycling of materials.","Always return your used electronic products, batteries, and packaging materials to a dedicated recycling collection point. This way you help prevent uncontrolled waste disposal and promote the recycling of materials.","Always return your used electronic products, batteries, and packaging materials to a dedicated recycling collection point. This way you help prevent uncontrolled waste disposal and promote the recycling of materials.","Always return your used electronic products, batteries, and packaging materials to a dedicated recycling collection point. This way you help prevent uncontrolled waste disposal and promote the recycling of materials.","Always return your used electronic products, batteries, and packaging materials to a dedicated recycling collection point. This way you help prevent uncontrolled waste disposal and promote the recycling of materials."
,,,,,,,,,,,
All mechanical parts as well as packaging materials have been marked where practically possible. Plastic parts are marked in accordance with ISO 11469 and ISO 1043-1 to -4 standards.,All mechanical parts as well as packaging materials have been marked where practically possible. Plastic parts are marked in accordance with ISO 11469 and ISO 1043-1 to -4 standards.,All mechanical parts as well as packaging materials have been marked where practically possible. Plastic parts are marked in accordance with ISO 11469 and ISO 1043-1 to -4 standards.,All mechanical parts as well as packaging materials have been marked where practically possible. Plastic parts are marked in accordance with ISO 11469 and ISO 1043-1 to -4 standards.,All mechanical parts as well as packaging materials have been marked where practically possible. Plastic parts are marked in accordance with ISO 11469 and ISO 1043-1 to -4 standards.,All mechanical parts as well as packaging materials have been marked where practically possible. Plastic parts are marked in accordance with ISO 11469 and ISO 1043-1 to -4 standards.,All mechanical parts as well as packaging materials have been marked where practically possible. Plastic parts are marked in accordance with ISO 11469 and ISO 1043-1 to -4 standards.,All mechanical parts as well as packaging materials have been marked where practically possible. Plastic parts are marked in accordance with ISO 11469 and ISO 1043-1 to -4 standards.,All mechanical parts as well as packaging materials have been marked where practically possible. Plastic parts are marked in accordance with ISO 11469 and ISO 1043-1 to -4 standards.,All mechanical parts as well as packaging materials have been marked where practically possible. Plastic parts are marked in accordance with ISO 11469 and ISO 1043-1 to -4 standards.,All mechanical parts as well as packaging materials have been marked where practically possible. Plastic parts are marked in accordance with ISO 11469 and ISO 1043-1 to -4 standards.,All mechanical parts as well as packaging materials have been marked where practically possible. Plastic parts are marked in accordance with ISO 11469 and ISO 1043-1 to -4 standards.
This product and its battery have been marked with the crossed-over wastebasket symbol (WEEE Directive) to signify that they must not be disposed of with regular household waste and need to be taken instead to an appropriate collection point.,This product and its battery have been marked with the crossed-over wastebasket symbol (WEEE Directive) to signify that they must not be disposed of with regular household waste and need to be taken instead to an appropriate collection point.,This product and its battery have been marked with the crossed-over wastebasket symbol (WEEE Directive) to signify that they must not be disposed of with regular household waste and need to be taken instead to an appropriate collection point.,This product and its battery have been marked with the crossed-over wastebasket symbol (WEEE Directive) to signify that they must not be disposed of with regular household waste and need to be taken instead to an appropriate collection point.,This product and its battery have been marked with the crossed-over wastebasket symbol (WEEE Directive) to signify that they must not be disposed of with regular household waste and need to be taken instead to an appropriate collection point.,This product and its battery have been marked with the crossed-over wastebasket symbol (WEEE Directive) to signify that they must not be disposed of with regular household waste and need to be taken instead to an appropriate collection point.,This product and its battery have been marked with the crossed-over wastebasket symbol (WEEE Directive) to signify that they must not be disposed of with regular household waste and need to be taken instead to an appropriate collection point.,This product and its battery have been marked with the crossed-over wastebasket symbol (WEEE Directive) to signify that they must not be disposed of with regular household waste and need to be taken instead to an appropriate collection point.,This product and its battery have been marked with the crossed-over wastebasket symbol (WEEE Directive) to signify that they must not be disposed of with regular household waste and need to be taken instead to an appropriate collection point.,This product and its battery have been marked with the crossed-over wastebasket symbol (WEEE Directive) to signify that they must not be disposed of with regular household waste and need to be taken instead to an appropriate collection point.,This product and its battery have been marked with the crossed-over wastebasket symbol (WEEE Directive) to signify that they must not be disposed of with regular household waste and need to be taken instead to an appropriate collection point.,This product and its battery have been marked with the crossed-over wastebasket symbol (WEEE Directive) to signify that they must not be disposed of with regular household waste and need to be taken instead to an appropriate collection point.
,,,,,,,,,,,
Sales package content and product features might vary depending on region and product variant.,Sales package content and product features might vary depending on region and product variant.,Sales package content and product features might vary depending on region and product variant.,Sales package content and product features might vary depending on region and product variant.,Sales package content and product features might vary depending on region and product variant.,Sales package content and product features might vary depending on region and product variant.,Sales package content and product features might vary depending on region and product variant.,Sales package content and product features might vary depending on region and product variant.,Sales package content and product features might vary depending on region and product variant.,Sales package content and product features might vary depending on region and product variant.,Sales package content and product features might vary depending on region and product variant.,Sales package content and product features might vary depending on region and product variant.
,,,,,,,,,,,
1Weight might vary depending on e.g. product variant,1Weight might vary depending on e.g. product variant,1Weight might vary depending on e.g. product variant,1Weight might vary depending on e.g. product variant,1Weight might vary depending on e.g. product variant,1Weight might vary depending on e.g. product variant,1Weight might vary depending on e.g. product variant,1Weight might vary depending on e.g. product variant,1Weight might vary depending on e.g. product variant,1Weight might vary depending on e.g. product variant,1Weight might vary depending on e.g. product variant,1Weight might vary depending on e.g. product variant
,,,,,,,,,,,
"2The measured values are dependent on several factors, e.g. measurement environment, frequency and operator network settings. The measurements are made @ 1800 MHz according to reference document: GSM Association Official Document: DG.09, ?Battery Life Measurement Technique? http://www.gsma.com/newsroom/technical-documents/","2The measured values are dependent on several factors, e.g. measurement environment, frequency and operator network settings. The measurements are made @ 1800 MHz according to reference document: GSM Association Official Document: DG.09, ?Battery Life Measurement Technique? http://www.gsma.com/newsroom/technical-documents/","2The measured values are dependent on several factors, e.g. measurement environment, frequency and operator network settings. The measurements are made @ 1800 MHz according to reference document: GSM Association Official Document: DG.09, ?Battery Life Measurement Technique? http://www.gsma.com/newsroom/technical-documents/","2The measured values are dependent on several factors, e.g. measurement environment, frequency and operator network settings. The measurements are made @ 1800 MHz according to reference document: GSM Association Official Document: DG.09, ?Battery Life Measurement Technique? http://www.gsma.com/newsroom/technical-documents/","2The measured values are dependent on several factors, e.g. measurement environment, frequency and operator network settings. The measurements are made @ 1800 MHz according to reference document: GSM Association Official Document: DG.09, ?Battery Life Measurement Technique? http://www.gsma.com/newsroom/technical-documents/","2The measured values are dependent on several factors, e.g. measurement environment, frequency and operator network settings. The measurements are made @ 1800 MHz according to reference document: GSM Association Official Document: DG.09, ?Battery Life Measurement Technique? http://www.gsma.com/newsroom/technical-documents/","2The measured values are dependent on several factors, e.g. measurement environment, frequency and operator network settings. The measurements are made @ 1800 MHz according to reference document: GSM Association Official Document: DG.09, ?Battery Life Measurement Technique? http://www.gsma.com/newsroom/technical-documents/","2The measured values are dependent on several factors, e.g. measurement environment, frequency and operator network settings. The measurements are made @ 1800 MHz according to reference document: GSM Association Official Document: DG.09, ?Battery Life Measurement Technique? http://www.gsma.com/newsroom/technical-documents/","2The measured values are dependent on several factors, e.g. measurement environment, frequency and operator network settings. The measurements are made @ 1800 MHz according to reference document: GSM Association Official Document: DG.09, ?Battery Life Measurement Technique? http://www.gsma.com/newsroom/technical-documents/","2The measured values are dependent on several factors, e.g. measurement environment, frequency and operator network settings. The measurements are made @ 1800 MHz according to reference document: GSM Association Official Document: DG.09, ?Battery Life Measurement Technique? http://www.gsma.com/newsroom/technical-documents/","2The measured values are dependent on several factors, e.g. measurement environment, frequency and operator network settings. The measurements are made @ 1800 MHz according to reference document: GSM Association Official Document: DG.09, ?Battery Life Measurement Technique? http://www.gsma.com/newsroom/technical-documents/","2The measured values are dependent on several factors, e.g. measurement environment, frequency and operator network settings. The measurements are made @ 1800 MHz according to reference document: GSM Association Official Document: DG.09, ?Battery Life Measurement Technique? http://www.gsma.com/newsroom/technical-documents/"
,,,,,,,,,,,
,,,,,,3This energy consumption is under 3G mode,,,,,
